"","Alveolar.bipotent.progenitor","Alveolar.macrophage.Ear2.high","Alveolar.macrophage.Pclaf.high","AT1.cell","AT2.cell","B.cell","Basophil","Ciliated.cell","Clara.cell","Dendritic.cell.Gngt2.high","Dendritic.cell.H2.M2.high","Dendritic.cell.Mgl2.high","Dendritic.cell.Tubb5.high","Dendritic.cell.Naaa.high","Endothelial.cell.Kdr.high","Endothelial.cell.Tmem100.high","Endothelial.cell.Vwf.high","Eosinophil","IgA.producing.B.cell","Interstitial.macrophage","Monocyte.progenitor","Neutrophil","NK.cell","Nuocyte","Plasmacytoid.dendritic.cell","Stromal.cell.Acta2.high","Stromal.cell.Dcn.high","Stromal.cell.Inmt.high","T.cell.Cd8b1.high"
"Mesp1",0,0,0,0,0.015841584,0.004297994,0,0,0,0,0,0,0,0,0,0,0,0.003773585,0,0,0,0,0,0,0,0,0,0,0.002173913
"Mesp2",0.03125,0.002004008,0,0,0.022772277,0,0,0,0,0,0,0,0,0.005376344,0.009615385,0.013986014,0,0,0,0,0,0,0.003636364,0,0,0,0,0,0
"Mest",0,0,0,0,0.001485149,0,0.071428571,0.009259259,0,0,0,0,0,0.005376344,0.057692308,0.020979021,0,0,0,0,0,0,0,0,0,0,0.005464481,0,0
"Met",0.15625,0.008016032,0,0.012269939,0.164356436,0.008595989,0.071428571,0.046296296,0.16969697,0.01863354,0,0.00621118,0,0.010752688,0,0.027972028,0,0.011320755,0,0,0.076923077,0.014285714,0.014545455,0.013245033,0.016949153,0.016129032,0,0.011976048,0.013043478
"Metap1",0.03125,0.02004008,0.027777778,0.036809816,0.025742574,0.024355301,0.071428571,0.037037037,0.048484848,0.00621118,0.047619048,0.01242236,0.1,0.053763441,0,0.020979021,0.027027027,0.003773585,0.033333333,0.017857143,0.153846154,0,0.014545455,0.006622517,0.006779661,0.032258065,0.027322404,0.02994012,0.017391304
"Metap1d",0.0625,0.046092184,0.111111111,0.036809816,0.022772277,0.015759312,0,0.009259259,0.018181818,0,0,0.02484472,0,0.021505376,0.019230769,0.020979021,0.040540541,0.011320755,0,0.022321429,0.076923077,0.014285714,0.003636364,0.033112583,0.016949153,0.032258065,0.06010929,0.047904192,0.023913043
"Metap2",0.21875,0.210420842,0.222222222,0.196319018,0.192574257,0.100286533,0.071428571,0.25,0.290909091,0.062111801,0.238095238,0.198757764,0.2,0.112903226,0.163461538,0.125874126,0.162162162,0.052830189,0,0.138392857,0.384615385,0.085714286,0.083636364,0.158940397,0.118644068,0.129032258,0.092896175,0.149700599,0.117391304
"Metrn",0,0.004008016,0,0.018404908,0.004455446,0.00286533,0,0.064814815,0,0,0,0.00621118,0,0,0.009615385,0.006993007,0.013513514,0,0,0,0.230769231,0,0.003636364,0.006622517,0.003389831,0,0.005464481,0.005988024,0.008695652
"Metrnl",0,0.054108216,0.083333333,0.012269939,0.012376238,0.00286533,0.071428571,0.009259259,0.012121212,0.099378882,0,0.031055901,0.033333333,0.02688172,0,0.006993007,0,0.022641509,0.066666667,0.040178571,0,0,0.014545455,0.01986755,0.077966102,0.032258065,0.081967213,0.005988024,0.004347826
"Mettl1",0,0.044088176,0,0.006134969,0.025247525,0.038681948,0,0.055555556,0.084848485,0.00621118,0,0.01863354,0.066666667,0.048387097,0,0.006993007,0.013513514,0.003773585,0.2,0.026785714,0.153846154,0,0.010909091,0.013245033,0.006779661,0.016129032,0.098360656,0.077844311,0.02173913
"Mettl14",0,0.024048096,0,0.012269939,0.00990099,0.012893983,0,0.009259259,0.006060606,0.00621118,0,0,0.066666667,0.010752688,0.019230769,0.020979021,0.027027027,0,0,0.017857143,0.076923077,0,0.003636364,0.01986755,0.003389831,0.016129032,0.010928962,0.017964072,0.015217391
"Mettl15",0,0.004008016,0,0.006134969,0.002475248,0.00286533,0,0.027777778,0.012121212,0,0,0.01242236,0,0.005376344,0,0.020979021,0,0,0,0.013392857,0.076923077,0,0.003636364,0.01986755,0.003389831,0.016129032,0.016393443,0.005988024,0.004347826
